2026-03-10 15:29:58 | CaptureMode | Layer=default | Keyboard=1 | VK=52 | Key=4 | AddedBinding=default|1_52=run| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 15:31:44 | CaptureMode | Layer=default | Keyboard=1 | VK=75 | Key=k | AddedBinding=default|1_75=run|chrome.exe | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 15:48:10 | Layer=default | Keyboard=1 | VK=67 | Key=c | SuggestedBinding=default|1_67=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 15:48:37 | Layer=default | Keyboard=1 | VK=67 | Key=c | SuggestedBinding=default|1_67=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 15:48:38 | Layer=default | Keyboard=1 | VK=67 | Key=c | SuggestedBinding=default|1_67=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 15:48:39 | Layer=default | Keyboard=1 | VK=74 | Key=j | SuggestedBinding=default|1_74=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 15:48:39 | Layer=default | Keyboard=1 | VK=67 | Key=c | SuggestedBinding=default|1_67=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 15:48:40 | Layer=default | Keyboard=1 | VK=73 | Key=i | SuggestedBinding=default|1_73=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 15:48:41 | Layer=default | Keyboard=1 | VK=67 | Key=c | SuggestedBinding=default|1_67=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 15:48:41 | Layer=default | Keyboard=1 | VK=74 | Key=j | SuggestedBinding=default|1_74=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 15:48:42 | Layer=default | Keyboard=1 | VK=67 | Key=c | SuggestedBinding=default|1_67=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 15:48:43 | Layer=default | Keyboard=1 | VK=73 | Key=i | SuggestedBinding=default|1_73=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 15:48:43 | Layer=default | Keyboard=1 | VK=67 | Key=c | SuggestedBinding=default|1_67=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 15:48:44 | Layer=default | Keyboard=1 | VK=74 | Key=j | SuggestedBinding=default|1_74=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 15:48:46 | Layer=default | Keyboard=1 | VK=67 | Key=c | SuggestedBinding=default|1_67=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 15:48:47 | Layer=default | Keyboard=1 | VK=74 | Key=j | SuggestedBinding=default|1_74=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 15:48:47 | Layer=default | Keyboard=1 | VK=67 | Key=c | SuggestedBinding=default|1_67=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 15:48:49 | Layer=default | Keyboard=1 | VK=54 | Key=6 | SuggestedBinding=default|1_54=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 15:48:50 | Layer=default | Keyboard=1 | VK=53 | Key=5 | SuggestedBinding=default|1_53=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 15:48:51 | Layer=default | Keyboard=1 | VK=54 | Key=6 | SuggestedBinding=default|1_54=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 15:48:51 | Layer=default | Keyboard=1 | VK=65 | Key=a | SuggestedBinding=default|1_65=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 15:48:51 | Layer=default | Keyboard=1 | VK=48 | Key=0 | SuggestedBinding=default|1_48=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 15:48:51 | Layer=default | Keyboard=1 | VK=57 | Key=9 | SuggestedBinding=default|1_57=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 18:34:06 | CaptureMode | Layer=default | Keyboard=1 | VK=71 | Key=g | AddedBinding=default|1_71=run|E:\Unity\6000.2.0f1\Editor\Unity.exe | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 19:33:30 | Layer=default | Keyboard=1 | VK=67 | Key=c | SuggestedBinding=default|1_67=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-10 19:33:33 | Layer=default | Keyboard=1 | VK=68 | Key=d | SuggestedBinding=default|1_68=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
