2026-03-17 17:22:20 | Layer=default | Keyboard=1 | VK=70 | Key=f | SuggestedBinding=default|1_70=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-17 17:22:20 | Layer=default | Keyboard=1 | VK=69 | Key=e | SuggestedBinding=default|1_69=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-17 17:22:22 | Layer=default | Keyboard=1 | VK=68 | Key=d | SuggestedBinding=default|1_68=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-17 17:22:23 | Layer=default | Keyboard=1 | VK=67 | Key=c | SuggestedBinding=default|1_67=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-17 17:22:23 | Layer=default | Keyboard=1 | VK=57 | Key=9 | SuggestedBinding=default|1_57=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-17 17:22:23 | Layer=default | Keyboard=1 | VK=48 | Key=0 | SuggestedBinding=default|1_48=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-17 17:22:24 | Layer=default | Keyboard=1 | VK=65 | Key=a | SuggestedBinding=default|1_65=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-17 17:22:24 | Layer=default | Keyboard=1 | VK=66 | Key=b | SuggestedBinding=default|1_66=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-17 17:22:25 | Layer=default | Keyboard=1 | VK=53 | Key=5 | SuggestedBinding=default|1_53=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-17 17:22:26 | Layer=default | Keyboard=1 | VK=54 | Key=6 | SuggestedBinding=default|1_54=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-17 18:53:13 | CaptureMode | Layer=default | Keyboard=1 | VK=53 | Key=5 | AddedBinding=default|1_53=folder|C:/ | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-17 18:53:16 | Layer=default | Keyboard=1 | VK=66 | Key=b | SuggestedBinding=default|1_66=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-17 18:53:17 | Layer=default | Keyboard=1 | VK=65 | Key=a | SuggestedBinding=default|1_65=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-17 18:53:17 | Layer=default | Keyboard=1 | VK=48 | Key=0 | SuggestedBinding=default|1_48=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-17 18:53:18 | Layer=default | Keyboard=1 | VK=68 | Key=d | SuggestedBinding=default|1_68=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-17 18:53:18 | Layer=default | Keyboard=1 | VK=67 | Key=c | SuggestedBinding=default|1_67=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-17 18:53:19 | Layer=default | Keyboard=1 | VK=69 | Key=e | SuggestedBinding=default|1_69=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-17 18:53:19 | Layer=default | Keyboard=1 | VK=66 | Key=b | SuggestedBinding=default|1_66=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-17 18:55:20 | Layer=default | Keyboard=1 | VK=68 | Key=d | SuggestedBinding=default|1_68=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
