2026-03-11 16:59:57 | Layer=default | Keyboard=1 | VK=74 | Key=j | SuggestedBinding=default|1_74=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-11 16:59:59 | Layer=default | Keyboard=1 | VK=73 | Key=i | SuggestedBinding=default|1_73=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-11 17:00:00 | Layer=default | Keyboard=1 | VK=74 | Key=j | SuggestedBinding=default|1_74=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-11 17:00:12 | CaptureMode | Layer=default | Keyboard=1 | VK=74 | Key=j | AddedBinding=default|1_74=run|notepad.exe | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-11 17:03:27 | CaptureMode | Layer=default | Keyboard=1 | VK=76 | Key=l | AddedBinding=default|1_76=run|discord.exe | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-11 18:13:16 | Layer=default | Keyboard=1 | VK=73 | Key=i | SuggestedBinding=default|1_73=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-11 18:13:18 | Layer=default | Keyboard=1 | VK=73 | Key=i | SuggestedBinding=default|1_73=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-11 18:15:53 | Layer=default | Keyboard=1 | VK=67 | Key=c | SuggestedBinding=default|1_67=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-11 19:50:49 | Layer=default | Keyboard=1 | VK=67 | Key=c | SuggestedBinding=default|1_67=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-12 03:04:27 | Layer=default | Keyboard=1 | VK=73 | Key=i | SuggestedBinding=default|1_73=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-12 18:22:50 | Layer=default | Keyboard=1 | VK=67 | Key=c | SuggestedBinding=default|1_67=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-13 03:13:22 | Layer=default | Keyboard=1 | VK=67 | Key=c | SuggestedBinding=default|1_67=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-13 03:13:23 | Layer=default | Keyboard=1 | VK=57 | Key=9 | SuggestedBinding=default|1_57=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-13 03:13:24 | Layer=default | Keyboard=1 | VK=48 | Key=0 | SuggestedBinding=default|1_48=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-13 03:13:24 | Layer=default | Keyboard=1 | VK=65 | Key=a | SuggestedBinding=default|1_65=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-13 03:13:24 | Layer=default | Keyboard=1 | VK=66 | Key=b | SuggestedBinding=default|1_66=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-13 03:13:24 | Layer=default | Keyboard=1 | VK=70 | Key=f | SuggestedBinding=default|1_70=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-13 03:13:25 | Layer=default | Keyboard=1 | VK=69 | Key=e | SuggestedBinding=default|1_69=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-13 03:13:26 | Layer=default | Keyboard=1 | VK=67 | Key=c | SuggestedBinding=default|1_67=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-13 03:13:26 | Layer=default | Keyboard=1 | VK=70 | Key=f | SuggestedBinding=default|1_70=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
2026-03-13 03:13:27 | Layer=default | Keyboard=1 | VK=69 | Key=e | SuggestedBinding=default|1_69=msg| | WasDown=0 | Extended=0 | LCtrl=0 | RCtrl=0 | LAlt=0 | RAlt=0 | Shift=0
